id,Large File,File URL,LOC,N_Components,N_Functions,N_Imports,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
1,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\components\source-panel.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\components\source-panel.tsx,315,6,0,7,,
2,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\lib\rehype-component.ts,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\lib\rehype-component.ts,349,0,4,8,,
3,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\block\chart-composed-table.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\block\chart-composed-table.tsx,107,1,0,21,,
4,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\combobox-form.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\combobox-form.tsx,139,1,0,24,,
5,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-badge.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-badge.tsx,44,3,0,8,,
6,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-conditional.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-conditional.tsx,71,3,0,9,,
7,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-demo.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-demo.tsx,50,3,0,7,,
8,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-force.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-force.tsx,62,3,0,7,,
9,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-hidden.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-hidden.tsx,49,3,0,7,,
10,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-icon.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-icon.tsx,45,3,0,8,,
11,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-subpage-custom.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-subpage-custom.tsx,66,4,0,12,,
12,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-subpage.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\commandmenu-subpage.tsx,74,3,0,11,,
13,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\dropdown-menu-demo.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\dropdown-menu-demo.tsx,123,1,0,27,,
14,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\form-patterns-pagelayout.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\form-patterns-pagelayout.tsx,732,1,0,46,,
15,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\form-patterns-sidepanel.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\form-patterns-sidepanel.tsx,770,1,0,45,,
16,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\page-layout-list-simple.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\page-layout-list-simple.tsx,98,1,0,22,,
17,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\page-layout-list.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\page-layout-list.tsx,128,1,0,23,,
18,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\page-layout-settings.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\page-layout-settings.tsx,255,2,0,25,,
19,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\sheet-confirm-on-close-demo.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\sheet-confirm-on-close-demo.tsx,226,2,1,23,,
20,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\__registry__\default\block\chart-composed-table.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\__registry__\default\block\chart-composed-table.tsx,107,1,0,21,,
21,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\app\api\crawlers\route.ts,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\app\api\crawlers\route.ts,234,1,8,16,,
22,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\app\contributing\ContributingToC.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\app\contributing\ContributingToC.tsx,122,3,0,12,,
23,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\app\guides\deployment\terraform\reference\page.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\app\guides\deployment\terraform\reference\page.tsx,412,4,1,20,,
24,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\app\page.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\app\page.tsx,375,1,1,14,,
25,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\Breadcrumbs.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\Breadcrumbs.tsx,203,2,2,25,,
26,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\HomePageCover.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\HomePageCover.tsx,187,3,0,12,,
27,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\Navigation\NavigationMenu\GlobalMobileMenu.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\Navigation\NavigationMenu\GlobalMobileMenu.tsx,205,3,0,24,,
28,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\Navigation\NavigationMenu\MenuIconPicker.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\Navigation\NavigationMenu\MenuIconPicker.tsx,132,1,1,36,,
29,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\Navigation\NavigationMenu\MenuIcons.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\Navigation\NavigationMenu\MenuIcons.tsx,720,33,0,2,,
30,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\Navigation\NavigationMenu\NavigationMenu.constants.ts,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\Navigation\NavigationMenu\NavigationMenu.constants.ts,3403,0,0,6,,
31,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\Navigation\NavigationMenu\NavigationMenu.tsx,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\Navigation\NavigationMenu\NavigationMenu.tsx,289,1,2,5,,
