Sequence,Wave,Phase,Priority,DemoCritical,Epic,StoryID,Title,UserStory,DetailedDescription,PrimaryOwner,SecondaryOwner,EstimatedEffort,Dependencies,CanRunInParallelWith,StartCondition,FinishCondition,AcceptanceCriteria,Deliverable,Status,ImplementationNotes
1,Wave 1,Week 1,P0,Yes,Foundation,A1,Define LangGraph State Schema,"As a developer, I want one shared LangGraph task state schema so every node reads and writes the same structured state.","Create the canonical task state object for the new LangGraph pipeline. The schema should include smell metadata, task classification, refactor plan, edit output, verification output, critique result, artifact paths, retry counters, and final task status. This story is intentionally first because it unblocks all graph, planner, and verifier integrations while remaining small and well bounded.",Ved,Jayanth,S,None,B1; B3; C1; C4,Project kickoff and agreement on core fields,Schema file is checked in and referenced by pipeline code,"One documented state schema exists; all required fields for classify, plan, edit, verify, critique, and finalize are defined; schema is understandable by all three teammates",LangGraph state contract and documentation,Done,"Implemented: langgraph_pipeline/state.py — TaskState TypedDict with all lifecycle fields, make_initial_state() helper, status constants. JSON schema: schemas/langgraph_task_state.schema.json"
2,Wave 1,Week 1,P0,Yes,Foundation,B1,Define Actionability Classification Schema,"As the system, I want a structured actionability schema so each smell can be labeled actionable, non_actionable, or needs_review before editing starts.","Define the classification contract with required fields such as label, rationale, confidence, smell-specific caveats, and whether a no-op is acceptable. This prevents the system from treating ambiguous detector findings as valid refactor targets and gives verification clearer rules.",Jayanth,Soham,S,None,A1; B3; C1; C4,Project kickoff and smell label agreement,Classification schema is checked in and referenced by prompts or nodes,Classifier labels are explicit; rationale is mandatory; schema distinguishes actionable from intentional or false-positive patterns,Actionability schema JSON or typed model,Done,"Implemented: langgraph_pipeline/schemas/actionability.py — ActionabilityResult TypedDict, ACTIONABLE/NON_ACTIONABLE/NEEDS_REVIEW constants, validate_actionability_result() with no_op constraint. JSON schema: schemas/actionability_result.schema.json"
3,Wave 1,Week 1,P0,Yes,Foundation,B3,Define Refactor Plan Schema,"As the system, I want a structured refactor plan schema so editing is gated by an explicit React-aware plan rather than freeform generation.","Define the JSON or typed contract for the planner output. Include tactic name, files to edit, risk level, invariants, expected smell resolution, and reasons to abort. This story is foundational because both prompt design and verification logic depend on consistent plan fields.",Soham,Jayanth,S,None,A1; B1; C1; C4,Project kickoff and initial smell list agreed,Plan schema is checked in and available to planner and verifier,"Planner schema includes tactic, file scope, invariants, risks, and expected outcome; invalid plans can be rejected before edit stage",Plan schema JSON or typed model,Done,"Implemented: langgraph_pipeline/schemas/plan.py — RefactorPlan TypedDict, risk level constants, validate_refactor_plan() with allowed-file scope enforcement. JSON schema: schemas/refactor_plan.schema.json"
4,Wave 1,Week 1,P1,No,Foundation,C1,Define Benchmark Dataset Schema,"As a researcher, I want a benchmark dataset schema so the team can evaluate refactor quality on a consistent labeled task set.","Create the data model for benchmark tasks. Include smell type, target files, line range, actionable label, expected tactic, difficulty, validation commands, and reviewer notes. This can begin immediately and does not block the runtime graph, which makes it good parallel work.",Soham,Ved,S,None,A1; B1; B3,Project kickoff and agreement on benchmark goals,Benchmark schema is documented and stored in repo,Dataset schema supports demo tasks now and future expansion later; fields are sufficient for scoring and human review,Benchmark schema and sample records,Not Started,
5,Wave 1,Week 1,P0,Yes,Verification,C4,Build Verification Scaffold,"As the system, I want a verification scaffold for parse, build, typecheck, and lint so unsafe edits are caught automatically.","Create the verification layer interface and node scaffolding, even if some checks are no-op per repo. The key goal is to define how verification results are captured, how failures are reported, and how later checks plug in. Starting this early lets the team integrate real validation without blocking on planner implementation.",Ved,Soham,M,None,A1; B1; B3; C1,State schema is clear enough to record verification results,Verification node scaffold runs and writes structured results,"Verification supports structured result capture for AST parse, build, typecheck, lint, and custom smell checks even if some checks are initially stubbed",Verification interface and node scaffold,Not Started,
6,Wave 2,Week 1,P0,Yes,LangGraph Runtime,A2,Implement Minimal LangGraph Pipeline,"As a developer, I want a minimal LangGraph pipeline with placeholder nodes so the current linear runner can be replaced incrementally.","Implement the first working LangGraph graph with nodes for classify, plan, edit, verify, critique, and finalize. The nodes can initially be thin wrappers around existing behavior, but task flow should now be graph-driven. This is the core runtime migration story and the main platform anchor for the demo.",Ved,Jayanth,L,A1,B2; B4; C2,State schema is approved,A task can traverse the graph from start to finish with placeholder or existing logic,Graph executes node sequence deterministically; node transitions are explicit; tasks can run one by one through LangGraph without relying on the old sequential runner,Working minimal LangGraph runner,Done,"Implemented: langgraph_pipeline/graph.py (StateGraph wiring), langgraph_pipeline/nodes/ (classify/plan/edit/verify stubs + real finalize node), langgraph_pipeline/runner.py (run_task and run_tasks entry points). Conditional edge routes non_actionable/needs_review directly to finalize."
7,Wave 2,Week 1,P0,Yes,Classification,B2,Implement Actionability Classifier Node,"As the system, I want a classifier node that labels each smell before planning so the pipeline does not waste effort on bad or ambiguous tasks.","Build the first model-backed classifier node using the actionability schema. It should process smell artifacts and output structured labels plus rationale. For demo quality, focus especially on distinguishing truly fixable smells from intentional React patterns.",Jayanth,Soham,M,B1,A2; B4; C2,Actionability schema exists,Classifier writes structured output per task,Classifier outputs valid schema-conforming JSON; actionable vs non_actionable is explicit; rationale is human-readable and stored as an artifact,Classifier node and prompt,Done,Implemented: langgraph_pipeline/nodes/classify.py — real OpenAI gpt-4o-mini call using function calling for structured ActionabilityResult output. Hard pre-check gate: smell types not in KNOWN_ACTIONABLE_SMELL_TYPES are rejected without LLM call. System prompt includes full smell-to-refactoring table. Tested on 14 real Supabase smells across 7 smell types.
8,Wave 2,Week 1,P0,Yes,Planning,B4,Implement Refactor Planner Node,"As the system, I want a planner node that creates a bounded refactor plan only for actionable smells so code edits are controlled and reviewable.","Build the planner node that consumes the smell, context, and actionability output. It should emit a plan using the plan schema. It must refuse overly broad or unclear plans and should identify a tactic plus invariants for the verifier and critic to enforce.",Soham,Jayanth,M,B3,A2; B2; C2,Plan schema exists and LangGraph skeleton runs,Planner writes valid plan artifacts for actionable tasks only,"Planner produces valid plans; non-actionable tasks do not proceed to edit; each plan specifies tactic, file scope, invariants, and risk",Planner node and prompt,Not Started,
9,Wave 2,Week 1,P0,Yes,Benchmark,C2,Create Curated Demo Benchmark Set,"As a researcher, I want a curated benchmark of 25 to 40 labeled React smell tasks so the team can test the system on trustworthy examples before the demo.",Build the first benchmark slice manually and carefully. Choose only smell categories that are likely to produce compelling refactors in two weeks. Each task should be labeled for actionability and expected tactic. This story is critical because it keeps the demo grounded in high-confidence examples rather than random detector output.,Soham,Jayanth,L,C1,A2; B2; B4,Benchmark schema exists,Initial benchmark files are complete and reviewed,"At least 25 labeled tasks exist; each has smell type, actionability label, expected tactic, and reviewer notes; demo subset is clearly identified",Curated benchmark dataset,Not Started,
10,Wave 3,Week 1,P0,Yes,LangGraph Runtime,A3,Preserve Existing Artifact Flow in LangGraph,"As a researcher, I want every LangGraph node to write artifacts into the current run structure so debugging and comparison remain easy.","Wire LangGraph execution to the existing run directories and task artifacts. The new graph should feel compatible with the current research workflow. This story matters because the demo will be much stronger if the audience can inspect planner outputs, verifier results, and critique decisions in familiar folders.",Ved,Soham,M,A2,B5; C3,Minimal graph runs successfully,Each major node writes artifacts into run and task folders,"Existing run layout is preserved or cleanly extended; artifacts exist for classification, plan, edit, verify, critique, and final outcome",Artifact-compatible LangGraph execution,Not Started,
11,Wave 3,Week 1,P0,Yes,Tactics,B5,Build Initial React Tactic Library,"As a maintainer, I want a small React tactic library so the planner and editor work from known transformation patterns instead of generic refactoring instructions.","Define and document the initial set of tactics for the demo smell classes. For each tactic, capture preconditions, common edit shape, expected invariants, and known risks. This story spreads well across the team because it needs both React insight and verification awareness.",Jayanth,Ved,M,B3,A3; C3; C4,Plan schema exists and demo smell list is agreed,Initial tactic library is available to planner and prompts,"At least 3 to 5 tactics are defined; each includes preconditions, invariants, and risk notes; tactics are specific enough for prompts and verification to use",Tactic library documents or config,Done,"Implemented: langgraph_pipeline/tactics.py — 23 tactics covering all 19 smell types from the reference table. Each tactic has: name, display_name, applies_to_smells, preconditions, edit_shape, invariants, risks (low/medium/high), abort_if. Lookup helpers: get_tactic(), get_tactics_for_smell(), tactic_names_for_smell(), all_covered_smell_types()."
12,Wave 3,Week 1,P0,Yes,Verification,C3,Reject No-Op Success for Actionable Tasks,"As the system, I want actionable tasks with no edits or empty outcomes to fail by default so the demo cannot falsely claim success.",Implement the rule that a no-op is only acceptable when the classifier marked the smell non_actionable or needs_review with clear rationale. This directly addresses the failure mode seen in the current pipeline where preserving behavior alone can incorrectly pass a refactor attempt.,Soham,Ved,S,B1; C4,A3; B5,Actionability labels exist and verification scaffold can record rule outcomes,No-op results are evaluated correctly based on actionability,Actionable tasks with no edits fail verification or critique; non-actionable tasks can pass with explicit rationale; behavior is captured in artifacts,No-op rejection rule in verification or critique,Not Started,
13,Wave 4,Week 2,P0,Yes,Prompting,B6,Make Edit Prompts Tactic-Guided,"As the system, I want the edit prompt to reference the chosen tactic and invariants so the model performs a bounded React-specific transformation.","Update the edit stage so prompts are derived from plan outputs and tactic metadata instead of generic smell instructions. This reduces drift, improves repeatability, and gives the verifier clearer expectations. It also balances workload by letting platform and evaluation work inform prompt shape.",Ved,Jayanth,M,B4; B5,C5; A5,Planner and tactic library are usable,Edit prompt generation consumes tactic and invariant data,"Prompts explicitly reference tactic, allowed scope, invariants, and expected smell resolution; freeform broad rewrites are discouraged",Revised prompt templates and generator,Not Started,
