id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
1,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\data-grid-demo.tsx,DataGridDemo,Large Component,LOC: 144; Number of props: 10; Number of attributes: 0; Number of methods: 0,,
2,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\form-patterns-pagelayout.tsx,FormPatternsPageLayout,Large Component,LOC: 663; Number of props: 10; Number of attributes: 0; Number of methods: 1,,
3,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\form-patterns-pagelayout.tsx,FormPatternsPageLayout,Uncontrolled component,"Line 296: <input
Line 348: <input
",,
4,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\form-patterns-sidepanel.tsx,FormPatternsSidePanel,Large Component,LOC: 704; Number of props: 10; Number of attributes: 0; Number of methods: 1,,
5,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\form-patterns-sidepanel.tsx,FormPatternsSidePanel,Uncontrolled component,"Line 314: <input
Line 368: <input
",,
6,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\design-system\registry\default\example\page-layout-settings.tsx,PageLayoutSettings,Large Component,LOC: 199; Number of props: 3; Number of attributes: 0; Number of methods: 0,,
7,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\app\error.tsx,ErrorPage,Force Update,"Line 22: <Button type=""secondary"" className=""w-fit p-4 text-lg"" onClick={() => location.reload()}>
",,
8,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\app\page.tsx,HomePage,Large Component,LOC: 166; Number of props: 0; Number of attributes: 0; Number of methods: 0,,
9,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\Navigation\SideBar.tsx,SideBar,Large Component,LOC: 173; Number of props: 1; Number of attributes: 0; Number of methods: 0,,
10,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\ProjectConfigVariables\ProjectConfigVariables.tsx,ComboBox,Large Component,LOC: 136; Number of props: 18; Number of attributes: 0; Number of methods: 0,,
11,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\ProjectConfigVariables\ProjectConfigVariables.tsx,ComboBox,Too many props,"Number of props: 18; Props: isLoading,disabled,name,options,selectedOption,selectedDisplayName,onSelectOption,className,search,hasNextPage,isFetching,isFetchingNextPage,fetchNextPage,setSearch,useCommandSearch,root,threshold,rootMargin",,
12,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\ProjectConfigVariables\ProjectConfigVariables.tsx,ComboBox,Large Component,LOC: 136; Number of props: 18; Number of attributes: 0; Number of methods: 0,,
13,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\ProjectConfigVariables\ProjectConfigVariables.tsx,ComboBox,Too many props,"Number of props: 18; Props: isLoading,disabled,name,options,selectedOption,selectedDisplayName,onSelectOption,className,search,hasNextPage,isFetching,isFetchingNextPage,fetchNextPage,setSearch,useCommandSearch,root,threshold,rootMargin",,
